City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
34,Palatka,US,93.02,overcast clouds,29.6486,-81.6376,"Holiday Inn Express & Suites Palatka Northwest, an IHG Hotel"
37,Springdale,US,92.19,clear sky,36.1867,-94.1288,Springdale Inn
46,Hun,LY,91.04,clear sky,29.1268,15.9477,Alrwasi Hotel
100,Guthrie,US,97.45,clear sky,35.8789,-97.4253,"Holiday Inn Express & Suites Guthrie North Edmond, an IHG Hotel"
155,San Antonio,US,95.02,clear sky,29.4241,-98.4936,Drury Plaza Hotel San Antonio Riverwalk
162,Simplicio Mendes,BR,96.4,few clouds,-7.8539,-41.9103,Fidalgo
171,Russell,US,91.15,broken clouds,32.3502,-85.1999,Macs
185,Lompoc,US,94.21,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
195,Fort Abbas,PK,94.35,broken clouds,29.1925,72.8536,AsAd's House
212,Diffa,NE,96.39,broken clouds,13.3154,12.6113,ProDAF/Diffa
223,Makat,KZ,91.35,broken clouds,47.6469,53.3463,Umit
224,Houston,US,94.39,clear sky,29.7633,-95.3633,"Hotel ICON, Autograph Collection"
233,Beyneu,KZ,93.4,clear sky,45.3167,55.2,NUR
239,Gallup,US,90.36,clear sky,35.5281,-108.7426,El Capitan Motel
315,San Patricio,US,93.29,scattered clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
337,Claremore,US,94.6,clear sky,36.3126,-95.6161,Super 8 by Wyndham Claremore OK
361,Nuevo Progreso,MX,90.59,broken clouds,23.1667,-97.95,Balneario Rio el Paraiso
376,Roxana,CR,92.03,overcast clouds,10.2753,-83.7513,3BYES1
379,Najran,SA,90.25,scattered clouds,17.4924,44.1277,محمد هادي ال فطيح
407,Beatrice,US,95.74,clear sky,40.2681,-96.747,Victorian Inn Beatrice
452,Mazagao,BR,91.45,few clouds,-0.115,-51.2894,Recanto dos Ferreiras
475,Nokha,IN,92.12,scattered clouds,27.6,73.4167,gu khana
483,Golden,US,99.57,few clouds,39.7555,-105.2211,"The Golden Hotel, Ascend Hotel Collection"
501,Ardmore,US,92.55,clear sky,34.1743,-97.1436,"Candlewood Suites Ardmore, an IHG Hotel"
513,Zacualpan,MX,96.42,broken clouds,21.25,-105.1667,La Colorada B&B
514,Tocaima,CO,91.36,few clouds,4.4582,-74.6343,Tropical Resort Tocaima
558,Wittingen,DE,90.86,clear sky,52.7269,10.7361,Bennett's Restaurant & Hotel
600,Potsdam,DE,91.31,clear sky,52.3989,13.0657,NH Voltaire Potsdam
601,Tomatlan,MX,93.58,overcast clouds,19.9333,-105.25,El Salvial
608,Montes Altos,BR,91.89,clear sky,-5.8333,-47.0667,Hotel e Restaurante Manaaim
619,San Francisco,US,99.79,few clouds,37.7749,-122.4194,The Clift Royal Sonesta Hotel
660,Ojinaga,MX,94.57,clear sky,29.5667,-104.4167,Suites Las Palmas
676,Tucurui,BR,91.2,clear sky,-3.7661,-49.6725,BBB Rooms Centro Tucurui PA
